stop_number,stop_name,x_pos,y_pos,max_capacity,Stop_000,Stop_001,Stop_002,Stop_003,Stop_004,Stop_005,Stop_006,Stop_007,Stop_008,Stop_009,Stop_010,Stop_011,Stop_012,Stop_013,Stop_014,Stop_015,Stop_016,Stop_017,Stop_018,Stop_019,Stop_020,Stop_021,Stop_022,Stop_023,Stop_024,Stop_025,Stop_026,Stop_027,Stop_028,Stop_029,Stop_030,Stop_031,Stop_032,Stop_033,Stop_034,Stop_035,Stop_036,Stop_037,Stop_038,Stop_039,Stop_040,Stop_041,Stop_042,Stop_043,Stop_044,Stop_045,Stop_046,Stop_047,Stop_048,Stop_049,Stop_050,Stop_051,Stop_052,Stop_053,Stop_054,Stop_055,Stop_056,Stop_057,Stop_058,Stop_059,Stop_060,Stop_061,Stop_062,Stop_063,Stop_064,Stop_065,Stop_066,Stop_067,Stop_068,Stop_069,Stop_070,Stop_071,Stop_072,Stop_073,Stop_074,Stop_075,Stop_076,Stop_077,Stop_078,Stop_079,Stop_080,Stop_081,Stop_082,Stop_083,Stop_084,Stop_085,Stop_086,Stop_087,Stop_088,Stop_089,Stop_090,Stop_091,Stop_092,Stop_093,Stop_094,Stop_095,Stop_096,Stop_097,Stop_098,Stop_099,Stop_100,Stop_101,Stop_102,Stop_103,Stop_104,Stop_105,Stop_106,Stop_107,Stop_108,Stop_109,Stop_110,Stop_111,Stop_112,Stop_113,Stop_114,Stop_115,Stop_116,Stop_117,Stop_118,Stop_119,Stop_120,Stop_121,Stop_122,Stop_123,Stop_124,Stop_125,Stop_126,Stop_127,Stop_128,Stop_129,Stop_130,Stop_131,Stop_132,Stop_133,Stop_134,Stop_135,Stop_136,Stop_137,Stop_138,Stop_139,Stop_140,Stop_141,Stop_142,Stop_143,Stop_144,Stop_145,Stop_146,Stop_147,Stop_148,Stop_149,Stop_150,Stop_151,Stop_152,Stop_153,Stop_154,Stop_155,Stop_156,Stop_157,Stop_158,Stop_159,Stop_160,Stop_161,Stop_162,Stop_163,Stop_164,Stop_165,Stop_166,Stop_167,Stop_168,Stop_169,Stop_170,Stop_171,Stop_172,Stop_173,Stop_174,Stop_175,Stop_176,Stop_177,Stop_178,Stop_179,Stop_180,Stop_181,Stop_182,Stop_183,Stop_184,Stop_185,Stop_186,Stop_187,Stop_188,Stop_189,Stop_190,Stop_191,Stop_192,Stop_193,Stop_194,Stop_195,Stop_196,Stop_197,Stop_198,Stop_199,Stop_200,Stop_201,Stop_202,Stop_203,Stop_204,Stop_205,Stop_206,Stop_207,Stop_208,Stop_209,Stop_210,Stop_211,Stop_212,Stop_213,Stop_214,Stop_215,Stop_216,Stop_217,Stop_218,Stop_219,Stop_220,Stop_221,Stop_222,Stop_223,Stop_224,Stop_225,Stop_226,Stop_227,Stop_228,Stop_229,Stop_230,Stop_231,Stop_232,Stop_233,Stop_234,Stop_235,Stop_236,Stop_237,Stop_238,Stop_239,Stop_240,Stop_241,Stop_242,Stop_243,Stop_244,Stop_245,Stop_246,Stop_247,Stop_248,Stop_249,Stop_250,Stop_251,Stop_252,Stop_253,Stop_254,Stop_255,Stop_256,Stop_257,Stop_258,Stop_259,Stop_260,Stop_261,Stop_262,Stop_263,Stop_264,Stop_265,Stop_266,Stop_267,Stop_268,Stop_269,Stop_270,Stop_271,Stop_272,Stop_273,Stop_274,Stop_275,Stop_276,Stop_277,Stop_278,Stop_279,Stop_280,Stop_281,Stop_282,Stop_283,Stop_284,Stop_285,Stop_286,Stop_287,Stop_288,Stop_289,Stop_290,Stop_291,Stop_292,Stop_293,Stop_294,Stop_295,Stop_296,Stop_297,Stop_298,Stop_299
231,Stop_231,92800,1000,1495,18,12,16,10,4,5,10,16,0,18,15,10,21,9,14,1,6,9,4,8,2,18,7,5,9,5,19,20,6,15,14,19,13,7,14,18,9,12,16,6,0,5,9,11,9,5,14,9,9,14,15,1,8,15,3,14,1,11,5,3,13,14,13,6,17,3,12,1,2,1,7,12,16,3,15,2,5,6,8,3,0,15,6,9,7,13,0,12,11,9,12,9,6,11,6,11,5,9,2,11,7,4,3,5,9,11,6,9,5,11,7,10,1,9,8,8,11,11,10,0,9,9,1,8,8,8,0,5,6,4,6,9,0,7,9,1,3,7,0,6,9,7,5,6,7,1,5,6,2,4,5,0,6,4,6,2,3,3,4,4,3,3,6,6,6,3,2,3,2,1,2,2,1,4,1,3,4,5,3,1,1,1,3,5,0,3,0,4,3,2,4,1,3,2,3,3,3,3,1,0,1,2,1,0,2,0,0,1,0,1,1,1,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,2,0,0,1,1,2,0,2,1,1,1,3,2,3,1,3,0,2,0,1,1,2,1,2,0,1,4,2,3,2,1,4,3,4,3,4,3,1,1,3,1,5,3,1,5,2,3,3,4
232,Stop_232,93200,1000,1449,24,20,20,19,21,13,22,4,11,1,2,8,15,2,7,17,1,1,9,3,15,15,10,5,11,4,17,16,14,12,2,10,11,15,1,11,18,7,2,3,18,6,6,12,16,18,18,1,7,2,3,17,1,5,8,9,1,10,11,11,4,14,8,4,15,16,13,13,0,13,13,5,10,2,11,5,8,3,2,13,13,8,12,8,10,8,10,9,6,3,4,4,4,5,8,9,3,2,0,6,3,2,9,3,1,6,9,0,9,7,4,8,8,9,8,1,4,2,3,9,0,1,8,2,3,5,1,5,5,9,4,8,1,2,1,1,6,4,3,2,5,8,5,8,9,3,6,6,6,5,8,1,2,1,5,7,7,5,3,7,7,1,3,5,4,4,4,2,3,6,2,0,4,5,4,3,3,3,4,2,2,2,2,4,2,2,4,2,2,2,4,4,3,3,3,2,2,2,3,1,2,1,0,3,0,1,1,1,2,0,2,0,1,1,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,2,1,1,0,2,1,2,2,2,3,1,1,2,2,3,3,3,2,4,1,1,3,1,1,1,4,0,2,4,3,5,2,3,2,2,1,2,2,5,4,2,4,1,3,1,5,13
233,Stop_233,93600,1000,1553,8,3,9,15,22,13,13,3,9,1,22,9,3,19,6,16,19,11,18,9,8,19,0,2,19,19,3,7,17,9,19,11,14,9,12,19,15,9,9,15,18,9,17,3,15,5,12,9,0,10,1,14,12,2,12,12,14,12,5,12,16,2,1,14,3,2,7,4,3,0,3,14,13,14,3,13,14,14,10,4,14,15,3,4,4,15,6,13,7,2,12,3,4,13,2,9,12,12,9,8,7,13,7,8,7,10,9,5,3,11,7,12,4,5,1,1,3,5,8,5,9,5,8,8,6,1,7,3,6,8,9,6,0,4,10,9,5,8,1,2,4,2,6,3,2,5,0,3,6,0,5,6,2,6,1,7,7,7,3,0,5,1,6,4,6,4,5,6,1,4,3,6,0,0,5,6,0,1,3,4,1,4,1,5,3,4,3,4,4,0,3,4,3,1,3,4,1,2,1,1,0,3,0,3,2,0,2,2,0,2,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,2,1,2,1,0,0,3,0,1,2,1,1,0,1,2,1,3,3,3,3,2,2,2,3,4,5,3,0,5,1,5,2,1,4,4,0,2,0,2,3,1,1,5,0,12
234,Stop_234,94000,1000,1452,3,15,17,21,19,18,9,3,1,21,11,8,21,21,18,4,12,14,15,2,4,4,4,3,0,16,9,13,13,9,19,14,10,1,5,9,12,3,1,9,3,7,13,16,4,13,8,0,12,5,9,17,4,10,5,5,7,5,11,14,13,3,10,11,6,15,10,15,15,4,9,6,12,8,9,0,5,6,14,6,3,3,8,2,5,11,3,10,7,0,1,4,11,3,10,13,13,13,10,9,9,10,1,2,6,8,0,12,5,11,8,10,7,10,11,11,1,10,8,11,3,7,6,2,1,8,1,1,5,1,6,5,7,0,8,4,3,0,5,3,8,4,3,5,5,8,5,2,5,8,0,7,4,1,1,5,8,4,5,7,2,6,1,2,2,2,0,2,1,4,3,3,0,4,1,2,3,4,1,1,5,3,0,2,4,1,1,1,1,4,4,2,1,3,3,4,2,1,3,3,1,3,2,1,3,0,2,2,2,1,2,0,0,1,1,2,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,2,2,1,0,2,0,2,2,3,3,2,1,2,1,1,2,3,1,2,2,1,0,4,3,4,3,2,2,0,5,1,5,3,1,2,2,4,2,5,6,1,0,3,6,5
235,Stop_235,94400,1000,1528,1,13,8,5,7,22,4,16,21,17,19,5,10,18,16,10,2,22,15,7,14,16,3,0,16,7,14,7,8,13,20,14,15,2,15,11,11,16,18,9,2,7,17,17,2,14,9,1,7,2,11,8,6,11,1,7,6,12,15,6,16,16,14,5,12,2,10,5,13,7,6,9,6,15,11,0,10,10,0,0,14,6,5,6,7,14,1,11,10,5,12,3,13,12,5,2,5,6,7,12,3,12,13,8,7,4,5,10,6,11,5,3,2,0,9,5,11,8,3,9,9,1,11,0,6,8,10,0,8,6,2,4,9,4,0,3,4,9,4,1,8,7,9,2,7,2,4,6,0,5,5,2,6,5,8,7,2,2,6,3,5,6,4,6,6,3,4,5,4,4,3,2,0,3,1,1,4,2,2,4,2,1,5,5,5,5,0,0,2,4,1,4,4,4,1,1,0,3,0,0,3,3,1,1,3,3,0,2,2,3,1,1,1,2,1,2,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,2,1,1,2,2,1,1,1,2,1,2,0,3,2,3,2,1,3,1,2,3,1,1,1,4,1,0,1,1,1,2,0,3,5,3,2,2,4,4,2,2,3,1,5
236,Stop_236,94800,1000,1632,6,21,3,17,3,14,22,20,9,12,20,19,22,21,15,1,2,14,6,21,5,16,7,16,7,19,8,10,17,1,20,20,4,9,19,7,4,1,9,8,11,9,18,13,17,9,18,4,1,10,2,15,1,15,3,10,9,3,6,17,17,12,6,6,3,11,6,13,13,10,8,10,14,8,9,7,8,10,15,15,15,5,12,1,6,7,2,13,12,5,10,13,8,3,14,11,1,9,3,9,1,7,11,9,13,11,13,9,9,10,11,3,1,7,8,10,9,7,3,4,5,11,6,11,3,2,6,2,1,8,3,8,6,9,6,2,10,9,9,7,9,3,0,8,8,4,4,3,1,4,3,0,6,0,2,2,7,1,6,6,5,1,2,4,2,6,0,1,2,5,4,3,4,4,2,4,0,2,3,2,5,2,1,5,4,3,1,3,2,4,3,2,1,1,4,4,2,1,0,1,4,3,3,1,2,3,1,1,2,3,1,0,0,2,1,1,2,2,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,1,1,1,0,1,1,1,1,1,0,1,0,3,3,1,1,1,1,3,0,4,1,2,3,2,4,2,4,2,4,5,3,3,3,4,3,4,1,0,2,4,6,9
237,Stop_237,95200,1000,1486,17,17,14,16,15,21,16,11,16,15,18,20,1,20,22,15,9,6,21,18,7,10,17,13,1,7,3,15,15,15,11,12,1,7,11,6,6,1,17,14,10,15,2,14,6,1,12,13,11,11,10,6,7,11,1,5,16,3,15,6,1,9,3,4,7,0,7,14,5,8,8,5,10,16,2,13,0,11,13,1,2,0,7,2,5,3,2,10,9,14,2,2,0,3,6,8,13,3,4,14,5,13,13,5,12,8,1,10,10,8,1,0,9,12,10,10,2,2,4,1,1,1,8,8,3,2,9,11,7,8,0,6,5,8,4,4,4,1,7,8,2,6,8,3,9,3,6,3,5,7,1,0,7,6,7,2,5,8,5,0,3,4,0,4,2,1,2,3,3,5,1,5,3,0,5,3,2,4,5,2,1,1,3,2,4,5,2,3,5,1,4,2,4,0,2,4,0,1,1,3,2,3,1,3,2,3,2,2,1,1,2,0,1,1,2,0,2,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,2,2,0,2,1,2,2,1,0,3,3,0,1,3,2,1,3,0,3,4,1,2,2,1,3,3,4,0,2,3,0,1,5,4,0,3,3,0,1,5,3,0,0,5
238,Stop_238,95600,1000,1458,4,20,6,16,2,13,22,11,20,14,21,2,16,2,1,2,15,9,22,9,1,8,19,4,17,7,13,6,8,20,13,10,5,11,10,12,13,7,3,11,1,0,1,7,14,3,8,18,4,5,13,13,1,1,8,11,13,9,8,17,16,14,10,17,12,14,17,3,11,1,8,3,9,5,9,1,8,2,7,0,4,1,1,7,15,12,1,12,4,14,10,8,12,9,0,6,1,13,2,5,8,2,11,2,7,13,9,2,1,12,10,7,5,7,3,5,8,7,6,1,12,3,9,2,10,1,9,6,2,8,6,1,7,3,8,8,0,8,1,3,4,7,7,0,7,2,9,0,9,5,4,8,5,4,2,7,5,1,7,5,4,3,2,1,1,7,4,3,1,1,5,3,4,3,3,5,6,3,1,1,3,6,3,5,4,3,3,2,2,2,4,2,2,1,0,2,2,2,1,3,4,0,1,1,0,0,0,1,2,1,1,0,2,1,1,1,2,1,0,1,2,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,2,1,1,0,0,1,2,1,0,0,2,3,1,1,3,3,3,2,0,3,4,4,1,0,3,2,3,1,1,1,3,3,1,5,2,3,2,5,0,1,1,3,6,5,6
239,Stop_239,96000,1000,1510,10,18,22,5,3,18,17,4,2,10,8,7,23,14,4,5,19,16,13,1,2,14,18,21,13,5,16,20,19,3,4,4,17,5,15,13,6,16,1,7,13,6,2,11,0,2,5,3,6,13,14,3,19,11,1,7,6,16,18,5,17,13,7,5,14,0,15,4,4,3,15,4,2,9,9,6,11,11,8,0,10,5,3,15,15,9,7,3,15,9,7,12,10,9,8,4,1,9,6,6,0,13,8,5,5,3,7,8,4,5,13,12,1,8,11,1,5,6,11,10,7,8,5,2,6,3,10,8,9,3,1,9,0,6,6,1,3,5,5,9,9,7,9,9,1,8,2,7,1,9,8,5,3,7,2,1,2,3,5,1,7,4,5,7,5,0,2,5,4,1,2,4,1,0,3,3,3,1,1,5,5,1,1,4,0,2,4,5,3,4,2,1,3,3,3,4,4,4,3,3,4,3,0,3,2,2,0,3,0,1,0,1,2,1,2,0,2,2,1,0,2,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,2,2,1,2,0,0,1,2,1,1,1,1,2,3,2,0,1,2,3,1,3,3,4,3,1,0,2,2,1,1,2,0,4,2,3,4,1,2,1,2,2,2,5,4,4
240,Stop_240,96400,1000,1510,30,8,23,1,1,9,0,20,2,20,14,9,5,12,17,0,4,9,6,1,9,7,3,18,12,20,19,19,17,18,3,20,6,18,9,6,19,5,19,1,18,16,6,13,14,13,14,5,17,6,12,12,0,14,18,2,1,10,8,13,7,7,7,1,7,6,6,15,8,7,16,4,0,15,8,4,3,10,7,4,8,16,10,10,11,7,11,6,3,8,1,3,6,1,12,4,11,13,6,6,12,2,4,8,1,8,2,2,3,5,4,5,1,3,8,3,8,10,4,8,3,2,2,11,8,9,3,4,8,10,7,2,3,1,3,3,9,3,5,2,8,4,8,7,7,0,7,2,5,5,7,3,9,2,6,7,3,5,6,7,8,5,4,7,0,5,3,2,1,3,1,1,1,3,5,4,4,3,3,2,4,1,0,3,1,5,2,2,2,3,5,5,1,3,2,1,0,2,1,1,2,1,1,3,2,2,2,1,2,3,3,2,2,2,2,1,0,0,2,2,0,2,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,2,2,0,2,1,1,1,2,0,0,1,0,0,1,3,3,2,1,4,4,4,1,1,2,2,3,2,3,5,5,1,5,2,2,4,5,1,5,9
241,Stop_241,96800,1000,1476,21,20,8,10,2,18,22,16,0,9,3,10,14,20,20,6,12,14,2,7,12,4,6,13,13,11,15,4,3,11,19,21,18,17,0,8,11,12,2,17,2,11,10,5,6,13,12,9,9,11,18,18,19,15,2,9,18,18,2,18,5,15,14,14,6,0,16,0,6,8,2,1,10,1,12,7,15,13,7,9,4,3,7,10,12,7,10,5,12,1,9,7,12,12,8,7,13,7,6,2,6,10,0,1,13,13,5,8,3,2,1,1,11,9,7,4,11,4,1,2,4,2,2,2,2,9,2,4,4,5,8,7,0,7,1,1,0,10,1,4,1,0,9,8,1,0,2,1,1,8,0,6,3,4,1,5,7,4,0,3,6,1,4,5,7,1,4,3,1,3,3,4,3,5,5,3,1,1,1,3,2,4,3,2,5,4,1,0,4,2,1,2,1,4,0,3,3,1,2,3,1,4,0,0,2,2,2,1,3,1,0,2,0,2,0,2,1,2,0,2,1,0,2,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,2,1,2,2,1,1,2,2,2,1,0,0,0,1,2,2,1,0,1,0,1,3,2,3,4,2,3,3,4,3,3,3,4,1,2,3,2,0,11
242,Stop_242,97200,1000,1460,4,10,4,16,11,4,21,1,7,21,5,9,1,2,7,18,15,21,21,15,9,4,0,6,4,7,16,2,3,2,14,15,4,12,6,4,7,19,19,3,14,6,8,15,10,7,19,4,11,0,13,15,19,12,18,6,3,7,7,8,0,16,3,8,5,6,10,17,17,14,13,10,4,2,15,14,12,9,10,6,5,10,10,11,6,10,2,7,5,12,6,8,12,11,6,3,1,4,1,6,7,9,7,11,6,2,5,13,11,12,4,6,9,9,1,3,10,11,1,11,0,7,3,4,3,10,11,3,5,2,5,4,7,11,0,6,6,4,9,7,4,5,2,3,2,4,10,3,4,0,2,3,6,7,5,6,6,2,1,4,2,2,3,4,4,3,4,6,1,4,1,2,5,5,3,2,3,3,2,1,3,3,4,4,2,4,5,5,1,2,4,3,2,3,1,0,1,1,3,1,1,1,3,3,0,3,1,2,2,3,2,0,0,2,0,1,0,0,1,1,2,2,2,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,2,2,1,0,2,1,0,2,3,3,3,2,2,2,2,2,3,1,1,1,2,0,4,2,0,1,3,2,0,2,2,3,4,3,6
243,Stop_243,97600,1000,1583,0,16,21,5,16,20,19,0,13,1,20,6,20,0,12,15,17,9,14,7,8,4,4,20,17,21,11,9,6,6,4,4,19,14,8,16,9,2,6,12,5,19,7,1,19,11,16,9,6,18,2,17,1,10,13,12,18,11,18,17,8,9,10,13,7,17,1,5,5,12,13,13,10,1,15,3,8,13,12,3,14,4,15,16,10,5,14,14,7,2,3,1,7,8,4,10,7,12,8,3,1,10,7,13,5,8,6,9,13,11,8,2,9,2,2,12,13,4,12,9,11,5,4,11,3,10,1,8,5,4,10,4,10,7,6,2,1,1,4,2,5,10,4,3,2,5,1,2,4,4,2,7,1,2,6,5,1,0,3,5,3,3,1,4,4,4,3,7,1,6,2,2,5,6,2,2,2,6,6,1,0,3,4,2,2,3,5,4,1,2,4,2,2,1,4,4,0,3,1,2,3,3,3,0,2,2,4,3,2,1,2,3,2,1,2,2,2,2,0,2,2,1,0,1,2,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,2,0,1,0,1,2,2,1,1,3,1,2,3,3,1,1,2,0,2,1,1,2,1,1,1,0,5,1,4,3,4,3,4,3
244,Stop_244,98000,1000,1644,31,11,9,9,7,8,4,15,19,17,20,0,21,21,13,4,2,19,18,6,17,9,15,15,7,6,18,19,7,20,19,17,3,20,16,19,13,1,12,8,8,2,2,15,20,19,17,18,1,18,10,11,15,9,3,10,7,6,5,6,16,17,5,16,10,10,12,13,5,16,7,17,8,4,2,7,11,13,13,11,8,2,4,4,3,0,0,13,5,4,15,11,14,10,0,1,1,4,13,11,5,7,12,10,12,8,4,13,14,4,12,4,4,8,7,2,2,5,10,2,0,8,6,6,1,1,11,3,0,2,5,4,6,7,2,8,10,2,8,10,9,10,3,3,2,2,2,6,6,0,5,6,9,0,6,3,3,3,0,1,7,3,1,7,7,4,7,6,1,2,7,2,5,5,3,1,2,1,6,2,4,2,2,2,2,5,2,3,5,1,1,5,3,4,4,1,2,4,4,4,4,1,3,2,2,0,3,3,2,3,0,3,2,3,1,1,2,3,1,0,0,1,2,0,1,2,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,2,1,1,1,1,1,0,2,0,1,0,1,3,2,3,1,2,3,1,1,1,1,3,4,1,1,2,1,3,1,2,0,4,3,1,4,9
245,Stop_245,98400,1000,1570,26,23,1,24,21,22,18,17,17,15,3,10,5,22,11,13,7,5,4,9,13,15,10,17,5,4,12,8,18,5,1,6,13,5,15,8,15,8,6,17,7,8,11,10,16,6,2,0,14,4,4,8,7,14,10,4,14,6,16,6,12,14,10,7,8,6,16,4,10,12,16,8,4,0,1,8,15,12,16,10,4,8,11,5,6,9,10,10,14,12,3,15,0,3,6,8,12,7,9,0,6,9,4,1,6,7,12,2,7,9,2,12,7,7,8,8,0,11,4,0,0,8,1,10,3,6,11,8,4,6,6,7,8,0,7,7,6,10,6,7,4,10,6,2,7,4,5,4,5,5,3,5,9,4,1,2,1,4,7,3,4,4,6,0,8,4,3,1,7,4,5,2,3,2,1,4,0,4,1,4,6,4,0,4,4,3,1,4,2,2,1,1,5,3,4,4,0,5,3,0,4,1,4,2,3,2,4,3,2,0,2,0,3,2,2,0,2,1,2,0,2,1,0,1,2,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,2,1,1,0,1,1,0,2,2,1,2,1,2,1,2,2,3,1,2,2,2,1,3,3,4,1,4,4,4,1,2,1,3,2,4,1
246,Stop_246,98800,1000,1692,9,3,9,7,13,21,7,8,22,17,20,4,7,2,17,15,18,19,19,16,12,0,11,20,8,16,20,0,20,13,20,18,11,16,20,8,14,8,14,20,17,8,20,0,6,16,7,8,19,7,0,13,3,17,15,9,8,4,10,6,10,8,5,17,1,15,14,17,6,15,13,2,11,16,11,1,11,10,14,4,11,8,9,10,5,2,9,3,4,1,14,13,2,14,12,10,3,9,0,12,15,12,4,7,8,3,6,2,2,12,1,9,3,8,0,4,7,0,4,9,11,3,5,2,10,10,8,7,3,6,0,7,8,5,3,3,8,10,9,3,9,4,6,7,5,5,3,10,2,2,4,9,7,9,5,5,3,4,2,9,4,1,7,5,6,5,5,4,3,5,5,7,7,1,5,7,6,7,6,5,6,2,3,2,4,5,4,0,4,2,1,1,4,4,1,1,4,1,2,4,3,1,1,1,0,1,1,0,1,2,2,1,3,2,0,2,0,2,2,2,2,1,0,0,1,0,2,2,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,2,0,1,2,1,1,0,1,3,0,2,3,3,2,3,4,2,2,3,2,3,2,1,3,4,4,1,3,5,7
247,Stop_247,99200,1000,1534,16,16,24,9,14,10,8,10,0,13,10,21,21,9,0,5,9,17,1,2,19,2,17,4,16,8,3,5,15,16,14,8,1,6,7,17,13,3,14,2,1,17,2,1,2,4,3,4,13,19,16,13,8,12,16,16,6,1,2,16,17,3,2,2,4,3,9,2,10,14,4,13,1,15,7,10,8,13,3,5,4,12,14,4,10,15,9,4,7,1,13,8,2,5,0,7,4,15,6,8,13,5,5,9,0,12,13,14,13,2,7,4,2,2,11,5,4,6,10,10,1,5,7,11,0,4,7,12,2,6,10,7,10,2,11,11,3,8,8,2,9,10,3,0,5,8,1,2,0,2,8,8,6,9,5,7,2,6,3,0,7,7,7,5,1,5,8,8,7,2,7,3,6,3,7,5,2,5,5,0,4,1,2,5,0,5,1,1,4,4,4,3,5,5,4,2,3,4,3,0,4,3,0,4,3,3,1,3,1,3,3,3,1,3,3,2,2,2,3,0,2,1,1,1,1,0,1,1,2,1,2,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,2,1,1,2,2,2,1,2,2,1,2,3,3,0,2,0,2,1,3,2,3,1,0,3,2,1,4,4,3,4,4,2
248,Stop_248,99600,1000,1543,12,16,22,20,11,11,10,23,9,4,23,4,2,9,7,1,2,1,13,11,20,12,22,12,4,18,8,11,10,18,1,6,3,4,1,17,18,2,9,7,11,4,6,3,15,1,11,10,4,11,12,7,5,14,8,18,4,1,14,2,5,16,15,10,10,8,14,10,12,11,8,1,17,9,1,3,10,2,16,17,12,12,1,11,13,6,8,12,8,1,12,12,14,15,2,8,3,9,11,12,8,15,8,4,4,2,12,3,4,2,13,3,5,7,4,7,7,11,7,11,9,1,11,2,12,6,5,7,11,2,1,2,11,6,11,6,10,3,8,8,6,11,1,8,8,6,8,6,6,6,2,4,7,3,4,1,0,4,1,1,1,0,1,3,7,5,3,1,4,2,7,2,5,1,4,6,2,1,6,3,2,4,5,2,2,4,6,1,0,1,3,3,1,5,0,2,5,2,4,3,0,1,4,0,3,1,3,1,1,3,4,2,2,0,3,1,2,3,1,0,2,1,0,2,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,2,0,1,0,2,2,1,0,1,0,2,3,3,0,1,1,2,3,4,2,1,2,3,1,3,4,2,1,4
249,Stop_249,100000,1000,1699,31,13,5,11,7,14,1,22,16,23,18,1,10,12,15,5,2,21,18,15,8,13,22,2,17,19,12,19,9,13,5,4,13,11,0,21,5,2,8,20,6,20,19,17,6,18,5,0,10,18,16,7,14,12,5,2,16,18,3,11,16,13,11,12,16,12,7,16,1,8,6,0,1,2,13,2,3,10,12,12,2,3,3,11,13,15,15,10,4,9,2,6,12,1,4,14,10,7,9,1,14,8,3,3,14,13,1,1,6,1,11,10,10,7,7,11,4,12,3,7,3,12,1,8,3,8,9,6,7,11,11,6,3,8,6,8,2,1,7,10,8,3,10,7,9,3,9,9,3,4,7,7,6,9,6,0,3,7,7,5,3,4,7,3,8,4,0,5,1,2,6,4,3,3,7,1,1,3,1,7,1,5,4,6,6,4,1,5,5,6,1,1,5,4,5,4,2,5,2,1,1,0,3,4,1,3,1,1,0,2,1,3,0,0,1,2,1,0,1,2,2,3,1,2,2,0,1,1,1,2,1,1,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,2,0,1,2,1,2,1,1,2,1,1,1,0,3,2,3,3,3,4,0,3,4,1,1,4,4,1,1,3,3,9
